timestamp_s,range_m,range_cm
41.368827,5.460000,546.0000
41.417228,5.460000,546.0000
41.465243,5.460000,546.0000
41.530184,5.460000,546.0000
41.578166,5.460000,546.0000
41.626222,5.460000,546.0000
41.690192,5.460000,546.0000
41.738022,5.460000,546.0000
41.802393,5.460000,546.0000
41.850015,5.460000,546.0000
41.898222,5.460000,546.0000
41.962013,5.460000,546.0000
42.010244,5.460000,546.0000
42.057194,5.460000,546.0000
42.106257,5.460000,546.0000
42.168970,5.460000,546.0000
42.216947,5.460000,546.0000
42.266249,5.460000,546.0000
42.328949,5.460000,546.0000
42.376846,5.460000,546.0000
42.426239,5.460000,546.0000
42.474261,5.460000,546.0000
42.538366,5.460000,546.0000
42.585950,5.460000,546.0000
42.649626,5.460000,546.0000
42.698043,5.460000,546.0000
42.746251,5.460000,546.0000
42.809964,5.460000,546.0000
42.857965,5.460000,546.0000
42.905826,5.460000,546.0000
42.953981,5.460000,546.0000
43.017552,5.460000,546.0000
43.066292,5.460000,546.0000
43.114298,5.460000,546.0000
43.160979,5.460000,546.0000
43.224979,5.460000,546.0000
43.273775,5.460000,546.0000
43.320884,5.460000,546.0000
43.385047,5.460000,546.0000
43.434327,5.460000,546.0000
43.498477,5.460000,546.0000
43.546342,5.460000,546.0000
43.593849,5.460000,546.0000
43.642108,5.460000,546.0000
43.706324,5.460000,546.0000
43.754082,5.460000,546.0000
43.802350,5.460000,546.0000
43.849109,5.460000,546.0000
43.913081,5.460000,546.0000
43.961782,5.460000,546.0000
44.026416,5.460000,546.0000
44.074177,5.460000,546.0000
44.122083,5.460000,546.0000
44.169030,5.460000,546.0000
44.217043,5.460000,546.0000
44.282397,5.460000,546.0000
44.329123,5.460000,546.0000
44.377049,5.460000,546.0000
44.442847,5.460000,546.0000
44.490112,5.460000,546.0000
44.553634,5.460000,546.0000
44.601833,5.460000,546.0000
44.650432,5.460000,546.0000
44.714165,5.460000,546.0000
44.762246,5.460000,546.0000
44.809812,5.460000,546.0000
44.874432,5.460000,546.0000
44.922543,5.460000,546.0000
44.985422,5.460000,546.0000
45.034111,5.460000,546.0000
45.081998,5.460000,546.0000
45.145561,5.460000,546.0000
45.193228,5.460000,546.0000
45.241229,5.460000,546.0000
45.289672,5.460000,546.0000
45.353171,5.460000,546.0000
45.401405,5.460000,546.0000
45.450062,5.460000,546.0000
45.498010,5.460000,546.0000
45.561535,5.460000,546.0000
45.609899,5.460000,546.0000
45.657613,5.460000,546.0000
45.721718,5.460000,546.0000
45.769895,5.460000,546.0000
45.833819,5.460000,546.0000
45.882364,5.460000,546.0000
45.929916,5.460000,546.0000
45.977403,5.460000,546.0000
46.042627,5.460000,546.0000
46.090557,5.460000,546.0000
46.153220,5.460000,546.0000
46.201270,5.460000,546.0000
46.249253,5.460000,546.0000
46.297251,5.460000,546.0000
46.345221,5.460000,546.0000
46.410651,5.460000,546.0000
46.458221,5.460000,546.0000
46.522336,5.460000,546.0000
46.570664,5.460000,546.0000
46.617943,5.460000,546.0000
46.666593,5.460000,546.0000
46.730397,5.460000,546.0000
46.778314,5.460000,546.0000
46.842419,5.460000,546.0000
46.890360,5.460000,546.0000
46.938630,5.460000,546.0000
47.001713,5.460000,546.0000
47.050630,5.460000,546.0000
47.098312,5.460000,546.0000
47.145839,5.460000,546.0000
47.193280,5.460000,546.0000
47.257583,5.460000,546.0000
47.305513,5.460000,546.0000
47.369364,5.460000,546.0000
47.418063,5.460000,546.0000
47.466717,5.460000,546.0000
47.514781,5.460000,546.0000
47.578569,5.460000,546.0000
47.626021,5.460000,546.0000
47.674675,5.460000,546.0000
47.722741,5.460000,546.0000
47.786707,5.460000,546.0000
47.834381,5.460000,546.0000
47.882870,5.460000,546.0000
47.930252,5.460000,546.0000
47.994828,5.460000,546.0000
48.042869,5.460000,546.0000
48.090240,5.460000,546.0000
48.153627,5.460000,546.0000
48.201452,5.460000,546.0000
48.249905,5.460000,546.0000
48.313578,5.460000,546.0000
48.361432,5.460000,546.0000
48.410271,5.460000,546.0000
48.474770,5.460000,546.0000
48.522968,5.460000,546.0000
48.570648,5.460000,546.0000
48.618430,5.460000,546.0000
48.682502,5.460000,546.0000
48.730859,5.460000,546.0000
48.777929,5.460000,546.0000
48.826786,5.460000,546.0000
48.890698,5.460000,546.0000
